seed,map_size,obstacle_rate,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
4,20,0.2,dijkstra,True,True,38,38,311,0.0006362080002872972,20.273311897106108,470.2090032154341,21.684303152636335,0.9967845659163987,0.0,0.9839228295819936,0.0,0.0
4,20,0.2,manhattan,True,True,38,38,180,0.00041316700117022265,1.279742765273312,9.29903536977492,3.0494319749381065,0.27009646302250806,0.0,0.15434083601286175,0.0,0.0
4,20,0.2,mlp_table,True,True,38,38,134,0.0006653750006080372,1.4865835199785387,6.3749343538771805,2.52486323468761,0.2508038585209003,0.7459807073954984,0.09003215434083602,0.02572347266881029,3.9410762786865234
4,20,0.2,unet,True,True,38,38,202,0.0009359169998788275,8.97789735579414,99.06710805303607,9.953246106323105,0.06752411575562701,0.932475884244373,0.003215434083601286,0.8617363344051447,16.98002052307129
5,20,0.2,dijkstra,False,False,-1,-1,0,0.0,,,,,,,,
5,20,0.2,manhattan,False,False,-1,-1,0,0.0,,,,,,,,
5,20,0.2,mlp_table,False,False,-1,-1,0,0.0,,,,,,,,
5,20,0.2,unet,False,False,-1,-1,0,0.0,,,,,,,,
6,20,0.2,dijkstra,True,True,44,44,308,0.0006117079992691288,22.814935064935064,629.775974025974,25.09533769499773,0.9967532467532467,0.0,0.9707792207792207,0.0,0.0
6,20,0.2,manhattan,True,True,44,44,141,0.0003097080007137265,3.779220779220779,24.38961038961039,4.938583844545963,0.7662337662337663,0.0,0.551948051948052,0.0,0.0
6,20,0.2,mlp_table,True,True,44,44,125,0.0005820420010422822,2.9175311903674883,18.299232458985358,4.277760215227749,0.737012987012987,0.2597402597402597,0.33766233766233766,0.0,1.54368257522583
